"Season","Song","Artist","Round"
1,"2000 Light Years Away","Green Day","Top of the Order"
1,"23","Jimmy Eat World","For the Long Haul"
1,"99 Red Balloons","Goldfinger","Don't Judge a Song by It's Cover"
1,"A Lot to Say","Sleep in.","Hipster Picks"
1,"A.M. 180","Grandaddy","Turn It Up To 11"
1,"Accident Prone","Jawbreaker","For the Long Haul"
1,"Adrenaline","Simple Creatures","Turn It Up To 11"
1,"Alchemy","Banner Pilot","Top of the Order"
1,"All I Want for Christmas Is You","My Chemical Romance","Don't Judge a Song by It's Cover"
1,"All is Violent, All is Bright","God Is An Astronaut","Who Needs Vocals?"
1,"All Too Well (10 Minute Version) (Taylor's Version)","Taylor Swift","For the Long Haul"
1,"Already Gone","Bayside","Top of the Order"
1,"Animate","Rush","Top of the Order"
1,"Anthem Part Two","blink-182","Top of the Order"
1,"Aqua Tofana","War On Women","Hipster Picks"
1,"Attractive Today","Motion City Soundtrack","Top of the Order"
1,"Auto Rock","Mogwai","Who Needs Vocals?"
1,"Awakening","Unleash the Archers","Top of the Order"
1,"Be There Waiting","The Paper Exit","Hipster Picks"
1,"Black Mountain Side","Led Zepplin","Who Needs Vocals?"
1,"Bleed American","Jimmy Eat World","Top of the Order"
1,"Bleed It Out","Linkin Park","Turn It Up To 11"
1,"Blown Away","DOGSTAR","Hipster Picks"
1,"Borderline","Strangers by Accident","Hipster Picks"
1,"Borne on the FM Waves of the Heart","Against Me!","Turn It Up To 11"
1,"Bubble Dream","Chon","Who Needs Vocals?"
1,"Cirice","Ghost","For the Long Haul"
1,"Comfortably Numb","Pink Floyd","For the Long Haul"
1,"Concerning Hobbits","Howard Shore","Who Needs Vocals?"
1,"Cready Stomp -  bonus track","Pearl Jam","Who Needs Vocals?"
1,"d00msday","Sir Sly","Hipster Picks"
1,"Daedalus","Thrice","For the Long Haul"
1,"Dagger, Dagger: Terror, Terror","Farewell Continental","Hipster Picks"
1,"Dancing with Myself","blink-182","Don't Judge a Song by It's Cover"
1,"Darkside","blink-182","Turn It Up To 11"
1,"Dead Reckoning","Clint Mansell","Who Needs Vocals?"
1,"Dead!","My Chemical Romance","Turn It Up To 11"
1,"Demolition Lovers","My Chemical Romance","For the Long Haul"
1,"Desolation Row","My Chemical Romance","Don't Judge a Song by It's Cover"
1,"Dirty Little Secret","The All-American Rejects","Top of the Order"
1,"Down with the Sickness","Richard Cheese","Don't Judge a Song by It's Cover"
1,"Endless Sleep","Vacant Skies","Hipster Picks"
1,"Energia","Russkaja","Top of the Order"
1,"Eruption","Van Halen","Who Needs Vocals?"
1,"Eve II (Odesza Remix)","Emancipator","Who Needs Vocals?"
1,"Everlong","Foo Fighters","Turn It Up To 11"
